# ["--data_set_name=dim[4, 4, 4, 4, 4]_dist10-0_scale10_upsampleTrue_balancedFalse.ds", "--n_epochs=60", "--batch_size=64", "--learning_rate=0.001", "--hidden_size=256", "--temperature=1.5", "--temp_update=0.97", "--length_cost=0.0", "--vocab_size_factor=3"]
data loaded from: ../zoo/intentional_game/data/dim[4, 4, 4, 4, 4]_dist10-0_scale10_upsampleTrue_balancedFalse.ds

opts
 Namespace(batch_size=64, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_set_name='dim[4, 4, 4, 4, 4]_dist10-0_scale10_upsampleTrue_balancedFalse.ds', device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, fp16=False, hidden_size=256, learning_rate=0.001, length_cost=0.0, load_from_checkpoint=None, lr=0.01, max_len=1, mode='gs', n_epochs=60, no_cuda=False, optimizer='adam', preemptable=False, random_seed=226733038, receiver_cell='gru', save_interaction_freq=0, sender_cell='gru', temp_update=0.97, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', update_freq=1, validation_freq=1, vocab_size=10, vocab_size_factor=3)
{"loss": 2.402631998062134, "acc": 0.06109922379255295, "length": 1.1613551378250122, "mode": "train", "epoch": 1}
{"loss": 2.3913443088531494, "acc": 0.07100996375083923, "length": 1.539363145828247, "mode": "test", "epoch": 1}
{"loss": 2.184034585952759, "acc": 0.13090133666992188, "length": 2.6054646968841553, "mode": "train", "epoch": 2}
{"loss": 2.021700859069824, "acc": 0.16370384395122528, "length": 3.0260794162750244, "mode": "test", "epoch": 2}
{"loss": 1.9712767601013184, "acc": 0.17061176896095276, "length": 3.100024700164795, "mode": "train", "epoch": 3}
{"loss": 1.9725048542022705, "acc": 0.17640164494514465, "length": 3.0927915573120117, "mode": "test", "epoch": 3}
{"loss": 1.8925246000289917, "acc": 0.21514633297920227, "length": 3.175001382827759, "mode": "train", "epoch": 4}
{"loss": 1.8745187520980835, "acc": 0.2291463166475296, "length": 3.1730806827545166, "mode": "test", "epoch": 4}
{"loss": 1.7675832509994507, "acc": 0.27561983466148376, "length": 3.3234782218933105, "mode": "train", "epoch": 5}
{"loss": 1.7638263702392578, "acc": 0.26723968982696533, "length": 3.3263332843780518, "mode": "test", "epoch": 5}
{"loss": 1.552170991897583, "acc": 0.3596358895301819, "length": 3.519451379776001, "mode": "train", "epoch": 6}
{"loss": 1.5657299757003784, "acc": 0.35368236899375916, "length": 3.70062518119812, "mode": "test", "epoch": 6}
{"loss": 1.2408976554870605, "acc": 0.5038304924964905, "length": 3.969449520111084, "mode": "train", "epoch": 7}
{"loss": 1.1856077909469604, "acc": 0.5117210149765015, "length": 4.155401229858398, "mode": "test", "epoch": 7}
{"loss": 0.8996918797492981, "acc": 0.6393490433692932, "length": 4.343833923339844, "mode": "train", "epoch": 8}
{"loss": 1.0725072622299194, "acc": 0.6089079976081848, "length": 4.608517169952393, "mode": "test", "epoch": 8}
{"loss": 0.6624444723129272, "acc": 0.7340530157089233, "length": 4.6606550216674805, "mode": "train", "epoch": 9}
{"loss": 0.723789632320404, "acc": 0.7047274708747864, "length": 4.728364944458008, "mode": "test", "epoch": 9}
{"loss": 0.5284200310707092, "acc": 0.7812619805335999, "length": 4.7865166664123535, "mode": "train", "epoch": 10}
{"loss": 0.6373782753944397, "acc": 0.7361789345741272, "length": 4.803281784057617, "mode": "test", "epoch": 10}
{"loss": 0.4638806879520416, "acc": 0.8031260371208191, "length": 4.862048149108887, "mode": "train", "epoch": 11}
{"loss": 0.5832293033599854, "acc": 0.7584488987922668, "length": 4.846063613891602, "mode": "test", "epoch": 11}
{"loss": 0.4265117347240448, "acc": 0.8213546872138977, "length": 4.927091598510742, "mode": "train", "epoch": 12}
{"loss": 0.5351651310920715, "acc": 0.7796444892883301, "length": 4.919124603271484, "mode": "test", "epoch": 12}
{"loss": 0.3906190097332001, "acc": 0.8381295800209045, "length": 4.926945686340332, "mode": "train", "epoch": 13}
{"loss": 0.5271002650260925, "acc": 0.7985934615135193, "length": 4.956241607666016, "mode": "test", "epoch": 13}
{"loss": 0.30669888854026794, "acc": 0.892423152923584, "length": 5.154868125915527, "mode": "train", "epoch": 14}
{"loss": 0.40415045619010925, "acc": 0.8722406625747681, "length": 5.186071395874023, "mode": "test", "epoch": 14}
{"loss": 0.18405622243881226, "acc": 0.9485425353050232, "length": 5.232738494873047, "mode": "train", "epoch": 15}
{"loss": 0.2943662405014038, "acc": 0.9094550013542175, "length": 5.141043186187744, "mode": "test", "epoch": 15}
{"loss": 0.15843994915485382, "acc": 0.956658124923706, "length": 5.245256423950195, "mode": "train", "epoch": 16}
{"loss": 0.3331993818283081, "acc": 0.8955850601196289, "length": 5.226509094238281, "mode": "test", "epoch": 16}
{"loss": 0.13710129261016846, "acc": 0.9629706144332886, "length": 5.32484769821167, "mode": "train", "epoch": 17}
{"loss": 0.23383720219135284, "acc": 0.9354366064071655, "length": 5.413264274597168, "mode": "test", "epoch": 17}
{"loss": 0.11430960893630981, "acc": 0.9694777727127075, "length": 5.3860321044921875, "mode": "train", "epoch": 18}
{"loss": 0.2853235602378845, "acc": 0.919808566570282, "length": 5.296933174133301, "mode": "test", "epoch": 18}
{"loss": 0.10720499604940414, "acc": 0.9696654081344604, "length": 5.3990349769592285, "mode": "train", "epoch": 19}
{"loss": 0.19861681759357452, "acc": 0.9367063641548157, "length": 5.4335808753967285, "mode": "test", "epoch": 19}
{"loss": 0.0927995815873146, "acc": 0.9730040431022644, "length": 5.3694233894348145, "mode": "train", "epoch": 20}
{"loss": 0.21880829334259033, "acc": 0.9365110397338867, "length": 5.336979866027832, "mode": "test", "epoch": 20}
{"loss": 0.10241762548685074, "acc": 0.9719765186309814, "length": 5.438717842102051, "mode": "train", "epoch": 21}
{"loss": 0.24090345203876495, "acc": 0.9249853491783142, "length": 5.467278957366943, "mode": "test", "epoch": 21}
{"loss": 0.09141862392425537, "acc": 0.9754419326782227, "length": 5.397678852081299, "mode": "train", "epoch": 22}
{"loss": 0.12529103457927704, "acc": 0.9652276039123535, "length": 5.463274002075195, "mode": "test", "epoch": 22}
{"loss": 0.11208318173885345, "acc": 0.9704280495643616, "length": 5.387723445892334, "mode": "train", "epoch": 23}
{"loss": 0.15458396077156067, "acc": 0.952334463596344, "length": 5.395389556884766, "mode": "test", "epoch": 23}
{"loss": 0.1035541445016861, "acc": 0.9717395305633545, "length": 5.431167125701904, "mode": "train", "epoch": 24}
{"loss": 0.22164618968963623, "acc": 0.9341668486595154, "length": 5.472748756408691, "mode": "test", "epoch": 24}
{"loss": 0.12147543579339981, "acc": 0.967134952545166, "length": 5.479079246520996, "mode": "train", "epoch": 25}
{"loss": 0.21165339648723602, "acc": 0.947157621383667, "length": 5.543270111083984, "mode": "test", "epoch": 25}
{"loss": 0.15198104083538055, "acc": 0.9595770239830017, "length": 5.552103519439697, "mode": "train", "epoch": 26}
{"loss": 0.1793590486049652, "acc": 0.944422721862793, "length": 5.626782417297363, "mode": "test", "epoch": 26}
{"loss": 0.12009695917367935, "acc": 0.9671943187713623, "length": 5.5391526222229, "mode": "train", "epoch": 27}
